Material;WertBB;EinheitWert;MengeBB;EinheitMengeBB;MengeKB;EinheitMengeKB
9507627;0,00;EUR;0;ST;0;ST
9507740;0,00;EUR;0;ST;0;ST
9507766;61,65;EUR;400;ST;0;ST
9507779;29,10;EUR;200;ST;0;ST
9597750;0,00;EUR;0;ST;0;ST
9631726;36,86;EUR;400;ST;0;ST
9631739;0,00;EUR;0;ST;0;ST
9631807;214,57;EUR;2.800;ST;0;ST
9631810;392,50;EUR;5.543;ST;0;ST
9631823;2.408,56;EUR;5.687;ST;0;ST
9631836;1.136,91;EUR;3.409;ST;0;ST
9631920;111,93;EUR;652;ST;0;ST
9631933;428,71;EUR;2.526;ST;0;ST
9636021;0,00;EUR;0;ST;0;ST
9636023;0,00;EUR;0;ST;0;ST
9636025;0,00;EUR;0;ST;0;ST
9636027;0,00;EUR;0;ST;0;ST
9653885;0,00;EUR;0;ST;0;ST
9660338;0,00;EUR;0;ST;0;ST
9660355;0,00;EUR;0;ST;0;ST
9660358;0,00;EUR;0;ST;0;ST
9660429;0,00;EUR;0;ST;0;ST
9660464;0,00;EUR;0;ST;0;ST
9660648;0,00;EUR;0;ST;0;ST
9661207;0,00;EUR;0;ST;0;ST
9661214;0,00;EUR;0;ST;0;ST
9661221;0,00;EUR;0;ST;0;ST
9661228;11,92;EUR;36;ST;0;ST
9661235;29,62;EUR;370;ST;0;ST
9661239;0,00;EUR;0;ST;0;ST
9661280;0,00;EUR;0;ST;0;ST
9661299;0,00;EUR;0;ST;0;ST
9661364;4,63;EUR;13;ST;0;ST
9661481;397,16;EUR;2.586;ST;0;ST
9661487;560,11;EUR;3.480;ST;0;ST
9661492;435,80;EUR;5.617;ST;0;ST
9661493;973,68;EUR;8.732;ST;0;ST
9661511;0,00;EUR;0;ST;0;ST
9661525;0,74;EUR;4;ST;0;ST
9661532;39,45;EUR;110;ST;0;ST
9661544;0,00;EUR;0;ST;0;ST
9661546;72,50;EUR;179;ST;0;ST
9661549;0,00;EUR;0;ST;0;ST
9661551;0,00;EUR;0;ST;0;ST
9661556;0,00;EUR;0;ST;0;ST
9661557;0,00;EUR;0;ST;0;ST
9661568;0,00;EUR;0;ST;0;ST
9661575;0,00;EUR;0;ST;0;ST
9661580;68,46;EUR;305;ST;0;ST
9661582;0,00;EUR;0;ST;0;ST
9661596;0,00;EUR;0;ST;0;ST
9661603;0,00;EUR;0;ST;0;ST
9661735;79,55;EUR;656;ST;0;ST
9661773;0,00;EUR;0;ST;0;ST
9661774;489,98;EUR;1.522;ST;0;ST
9662675;0,00;EUR;0;ST;0;ST
9662678;0,00;EUR;0;ST;0;ST
9662679;554,90;EUR;3.110;ST;0;ST
9663228;0,00;EUR;0;ST;0;ST
9663231;0,00;EUR;0;ST;0;ST
9663244;0,00;EUR;0;ST;0;ST
9663257;0,00;EUR;0;ST;0;ST
9663600;0,00;EUR;0;ST;0;ST
9663613;0,00;EUR;0;ST;0;ST
9663626;0,00;EUR;0;ST;0;ST
9677560;665,80;EUR;201;ST;0;ST
9677955;420,55;EUR;1.182;ST;0;ST
9687217;0,00;EUR;0;ST;0;ST
9687220;0,00;EUR;0;ST;0;ST
9687233;0,00;EUR;0;ST;0;ST
9688818;885,14;EUR;3.680;ST;0;ST
9736016;0,00;EUR;0;ST;0;ST
9736029;0,00;EUR;0;ST;0;ST
9736032;0,00;EUR;0;ST;0;ST
9736825;0,00;EUR;0;ST;0;ST
9736838;0,00;EUR;0;ST;0;ST
9736964;136,64;EUR;34;ST;0;ST
9737837;252,36;EUR;3.663;ST;0;ST
9738661;34,29;EUR;319;ST;0;ST
9796713;0,00;EUR;0;ST;0;ST
9796726;0,00;EUR;0;ST;0;ST
9796739;0,00;EUR;0;ST;0;ST
9796742;0,00;EUR;0;ST;0;ST
9796755;0,00;EUR;0;ST;0;ST
9796768;0,00;EUR;0;ST;0;ST
9796771;0,00;EUR;0;ST;0;ST
9799914;2.155,94;EUR;1.929;ST;0;ST
9799927;1.839,66;EUR;4.298;ST;0;ST
9799943;499,17;EUR;205;ST;0;ST
10102175;1.008,21;EUR;9.899;ST;0;ST
10102176;0,00;EUR;0;ST;0;ST
10103386;0,00;EUR;0;ST;0;ST
10103388;0,00;EUR;0;ST;0;ST
52000784;0,00;EUR;0;ST;0;ST
52005126;0,00;EUR;0;ST;0;ST
52006571;0,00;EUR;0;ST;0;ST
52006572;0,00;EUR;0;ST;0;ST
52006771;2.268,90;EUR;172;ST;0;ST
52006773;1.319,12;EUR;100;ST;0;ST
